87239,21909,371
82252,21429,371
77817,21467,371
77256,23492,371
74961,22687,371
75268,25708,371
75302,26509,371
73604,26768,371
72797,27765,371
70982,26843,371
70982,26843,371
70052,27783,371
69513,26579,371
68023,26719,371
68167,28025,371
68702,28794,371
68036,29333,371
65614,28918,371
63389,28564,371
63885,25439,371
62201,24705,371
56767,25192,371
54484,25211,371
53250,23300,371
51262,23087,371
51353,22176,371
50729,20649,371
51486,19445,371
55991,18615,371
55380,14540,371
55379,14561,371
53705,13486,371
55303,17411,371
55529,96542,349
55847,81607,349
55512,75886,349
61275,75776,349
61775,76882,349
74120,91729,349
77274,97003,349
77357,96862,349
75158,99501,349
72621,97852,349
71163,1.001e+05,349
69213,96986,349
65644,97847,349
66776,1.0265e+05,349
69103,1.0658e+05,349
58492,88737,349
49111,92004,349
15995,67651,349
21510,73171,349
25616,71386,349
29817,76271,349
31931,75088,349
31130,77720,349
29591,73068,349
45523,68067,349
45696,77502,349
35143,53740,349
35574,57159,349
41842,56641,349
41092,53135,349
1.0031e+05,45153,349
1.0058e+05,40846,349
1.0325e+05,40551,349
1.0605e+05,39941,349
1.0798e+05,38032,349
1.0554e+05,35123,349
1.0239e+05,32715,349
1.0288e+05,30836,349
98931,29830,349
98333,27369,349
1.0049e+05,26947,349
1.0356e+05,23959,349
1.0745e+05,27687,349
1.0799e+05,32188,349
1.0975e+05,35923,349
1.0979e+05,37061,349
1.1195e+05,38740,349
1.1387e+05,37307,349
1.1465e+05,39569,349
1.1346e+05,41136,349
1.1558e+05,42464,349
1.163e+05,45402,349
1.1472e+05,42978,349
1.1291e+05,43285,349
1.1108e+05,44044,349
1.0875e+05,43117,349
1.0741e+05,43619,349
1.0613e+05,43728,349
1.0433e+05,45027,349
1.0269e+05,45711,349
64942,75038,349
67457,73339,349
69127,75452,349
66003,78435,349
64047,79299,349
62206,81849,349
61836,80655,349
64880,82239,349
66555,81626,349
66125,84263,349
70178,85242,349
75453,88668,349
76173,85819,349
73803,84363,349
80573,1.0145e+05,349
78314,1.0263e+05,349
37523,66651,349
1.0329e+05,35174,339
95483,34383,339
93452,33456,339
91038,37129,339
87351,39154,339
87226,39206,339
85287,42542,339
84329,45837,339
86327,51369,339
74974,47126,339
86847,54040,339
82012,54246,339
79254,55225,339
75883,54329,339
76175,52684,339
78717,49412,339
71508,44683,339
68828,44980,339
58526,22532,339
64986,45644,339
63059,52037,339
58496,51532,339
57756,46171,339
56555,42311,339
51899,42736,339
53159,48598,339
46849,48873,339
47606,51993,339
43774,50996,339
44638,45870,339
39057,43881,339
41759,41493,339
39864,38619,339
34113,38699,339
31027,31913,339
33371,29794,339
30569,25469,339
26550,25412,339
29416,20362,339
34672,22420,339
37016,22877,339
34247,19904,339
33852,16650,339
33999,14059,339
30745,1.0475e+05,339
35039,1.0367e+05,339
37973,1.0392e+05,339
44427,1.0595e+05,339
44957,1.0179e+05,339
44482,94316,339
38949,94286,339
40074,99289,339
39905,1.0172e+05,339
35931,1.0125e+05,339
36910,98755,339
36118,95517,339
32011,94916,339
28903,92313,339
28650,91061,339
29570,88731,339
30800,84426,339
28802,82351,339
30437,80660,339
26513,81668,339
24462,82495,339
23603,84181,339
19346,84322,339
16024,84855,339
12319,86663,339
23078,70616,339
28409,68973,339
32371,72417,339
28788,75345,339
24721,72541,339
33739,52528,339
33289,45815,339
30760,45219,339
30317,50769,339
18879,33645,319
23819,37603,319
28118,30065,319
33996,27347,319
40015,30305,319
43491,30733,319
49017,41589,319
51473,46775,319
45248,48377,319
44708,54852,319
48366,52884,319
50066,58574,319
55150,55496,319
58643,56277,319
57763,63096,319
62288,63761,319
65724,64679,319
69597,64407,319
76369,61181,319
80716,64723,319
89207,64214,319
96318,63905,319
1.0033e+05,62760,319
1.0007e+05,58833,319
1.0016e+05,53608,319
99568,43012,319
1.0057e+05,38114,319
1.0616e+05,33815,319
1.0616e+05,33815,319
1.0628e+05,28916,319
1.023e+05,30369,319
1.0446e+05,25290,319
97948,27758,319
97269,22337,319
1.0913e+05,83488,319
1.054e+05,79702,319
1.0328e+05,75850,319
97063,75526,319
96825,81682,319
93156,88504,319
91258,86766,319
93529,78394,319
